"id";"kind";"numfuses"
809329925;"sing";4
809791308;"sing";2
810927020;"sing";193
811743313;"sing";3
811814295;"sing";20
811956259;"sing";2
812666079;"sing";1
812879025;"sing";2
813162953;"sing";69
815079467;"sing";1
816570089;"sing";17
817421873;"sing";3
817918747;"sing";2
819302896;"sing";4
819870752;"sing";14
821077446;"sing";9
821680793;"sing";2
822248649;"sing";2
822532577;"sing";1
823739271;"sing";4
823810253;"sing";1
824094181;"sing";2
825016947;"sing";9
826081677;"sing";4
826897970;"sing";5
831085908;"sing";39
831298854;"sing";3
833499296;"sing";3
838822946;"sing";3
841236334;"sing";1
845282308;"sing";4
846276056;"sing";1
849328282;"sing";3
849860647;"sing";67
849931629;"sing";1
851351269;"sing";1
851635197;"sing";3
851670688;"sing";5
852557963;"sing";4
852699927;"sing";26
856178045;"sing";9
856497464;"sing";1
856532955;"sing";5
856674919;"sing";1
856745901;"sing";2
856781392;"sing";1
856923356;"sing";24
857065320;"sing";1
857597685;"sing";49
857739649;"sing";22
857846122;"sing";2
858272014;"sing";6
858804379;"sing";15
858839870;"sing";6
859052816;"sing";6
859123798;"sing";2
859265762;"sing";1
859301253;"sing";1
859372235;"sing";2
859407726;"sing";1
859478708;"sing";14
859549690;"sing";2
861111294;"sing";4
861608168;"sing";1
861785623;"sing";3
861821114;"sing";5
862424461;"sing";7
862566425;"sing";1
862850353;"sing";3
863418209;"sing";1
863453700;"sing";2
863524682;"sing";4
863737628;"sing";2
863950574;"sing";2
864021556;"sing";3
864163520;"sing";1
864447448;"sing";4
864766867;"sing";1
865086286;"sing";4
865157268;"sing";16
865299232;"sing";33
865405705;"sing";11
865618651;"sing";1
865689633;"sing";3
866931818;"sing";1
867180255;"sing";4
867712620;"sing";10
867819093;"sing";5
867996548;"sing";1
868103021;"sing";1
868280476;"sing";2
868315967;"sing";1
868386949;"sing";2
868422440;"sing";1
868812841;"sing";3
869558152;"sing";21
871652121;"sing";10
872290959;"sing";1
872397432;"sing";5
872503905;"sing";1
872787833;"sing";3
873071761;"sing";1
873178234;"sing";3
873391180;"sing";50
873568635;"sing";13
873817072;"sing";1
874136491;"sing";17
874597874;"sing";2
874668856;"sing";5
874775329;"sing";21
875343185;"sing";1
875520640;"sing";8
875591622;"sing";1
875875550;"sing";7
876336933;"sing";2
876691843;"sing";30
876798316;"sing";27
877614609;"sing";4
877898537;"sing";5
878395411;"sing";1
878679339;"sing";1
879105231;"sing";7
879389159;"sing";3
879495632;"sing";4
879886033;"sing";1
879921524;"sing";2
880098979;"sing";1
880382907;"sing";2
880418398;"sing";1
880560362;"sing";2
880595853;"sing";2
880950763;"sing";1
881696074;"sing";21
881802547;"sing";9
882050984;"sing";9
882228439;"sing";11
882405894;"sing";3
882512367;"sing";5
882583349;"sing";2
883754552;"sing";1
884428881;"sing";6
884783791;"sing";7
885032228;"sing";2
885138701;"sing";1
885600084;"sing";1
885884012;"sing";1
887090706;"sing";1
887445616;"sing";2
888190927;"sing";2
889042711;"sing";2
889504094;"sing";6
889539585;"sing";15
890249405;"sing";24
890462351;"sing";2
890604315;"sing";2
891420608;"sing";2
891456099;"sing";1
891669045;"sing";1
891704536;"sing";2
891740027;"sing";1
891811009;"sing";5
892023955;"sing";41
892307883;"sing";8
892769266;"sing";90
892804757;"sing";2
893266140;"sing";1
893301631;"sing";2
893550068;"sing";1
894011451;"sing";1
894330870;"sing";2
895076181;"sing";3
895927965;"sing";6
896034438;"sing";2
896921713;"sing";3
897276623;"sing";1
897596042;"sing";10
897667024;"sing";1
897738006;"sing";1
897808988;"sing";1
898625281;"sing";4
899015682;"sing";1
899264119;"sing";8
899441574;"sing";2
899796484;"sing";1
899938448;"sing";2
900577286;"sing";4
900683759;"sing";3
900790232;"sing";3
901571034;"sing";1
901961435;"sing";2
902067908;"sing";5
902422818;"sing";1
902635764;"sing";3
903665003;"sing";2
904197368;"sing";1
904978170;"sing";2
905013661;"sing";2
906184864;"sing";2
906717229;"sing";1
907214103;"sing";5
907639995;"sing";3
907817450;"sing";5
907923923;"sing";1
909166108;"sing";5
909521018;"sing";1
909627491;"sing";3
910195347;"sing";1
910337311;"sing";5
910585748;"sing";4
910834185;"sing";7
911011640;"sing";30
911579496;"sing";1
913531501;"sing";1
914489758;"sing";15
915022123;"sing";1
915341542;"sing";2
915873907;"sing";1
918642205;"sing";1
918677696;"sing";1
919316534;"sing";7
919990863;"sing";8
920984611;"sing";17
922652688;"sing";1
923007598;"sing";1
925066076;"sing";31
926734153;"sing";2
927443973;"sing";3
927763392;"sing";2
927798883;"sing";4
929005577;"sing";4
929466960;"sing";3
931099546;"sing";2
934968065;"sing";1
935464939;"sing";3
935748867;"sing";19
936032795;"sing";1
936529669;"sing";1
937345962;"sing";2
937949309;"sing";7
938020291;"sing";2
938197746;"sing";4
938268728;"sing";1
939014039;"sing";1
939297967;"sing";4
941072517;"sing";3
941746846;"sing";1
942527648;"sing";2
942705103;"sing";5
944018270;"sing";3
945402419;"sing";12
945721838;"sing";1
945757329;"sing";3
946502640;"sing";3
946609113;"sing";5
947460897;"sing";1
947922280;"sing";4
947957771;"sing";12
948809555;"sing";2
948880537;"sing";9
949341920;"sing";7
949412902;"sing";7
949696830;"sing";3
950229195;"sing";2
950264686;"sing";6
950335668;"sing";6
951009997;"sing";1
951329416;"sing";2
951506871;"sing";6
952323164;"sing";2
953494367;"sing";1
953920259;"sing";2
954026732;"sing";1
954133205;"sing";2
954772043;"sing";4
954807534;"sing";17
955552845;"sing";4
955588336;"sing";1
956191683;"sing";1
956546593;"sing";2
956582084;"sing";6
956795030;"sing";3
957185431;"sing";1
957291904;"sing";1
957469359;"sing";4
957504850;"sing";2
958001724;"sing";4
958392125;"sing";10
958498598;"sing";1
958995472;"sing";8
959030963;"sing";5
959137436;"sing";3
960770022;"sing";3
960982968;"sing";1
961195914;"sing";8
961444351;"sing";1
961479842;"sing";7
961692788;"sing";22
962083189;"sing";2
962509081;"sing";1
962651045;"sing";13
964674032;"sing";3
965241888;"sing";1
965596798;"sing";8
966661528;"sing";7
966945456;"sing";1
967051929;"sing";5
968116659;"sing";1
968223132;"sing";1
968436078;"sing";19
968542551;"sing";11
968578042;"sing";1
968684515;"sing";1
968755497;"sing";61
970742993;"sing";18
970955939;"sing";39
971772232;"sing";4
973120890;"sing";2
973191872;"sing";1
973511291;"sing";1
973724237;"sing";3
974185620;"sing";1
974753476;"sing";1
974859949;"sing";2
975143877;"sing";1
975321332;"sing";3
975392314;"sing";8
975427805;"sing";4
975463296;"sing";1
975534278;"sing";1
975569769;"sing";4
975605260;"sing";3
975676242;"sing";7
975782715;"sing";2
975818206;"sing";5
975889188;"sing";1
975995661;"sing";7
976102134;"sing";1
976173116;"sing";2
976279589;"sing";2
976386062;"sing";5
976528026;"sing";4
976634499;"sing";2
976669990;"sing";1
976953918;"sing";2
977024900;"sing";2
977060391;"sing";1
977166864;"sing";3
977202355;"sing";1
977273337;"sing";1
977379810;"sing";1
977415301;"sing";1
977486283;"sing";5
977521774;"sing";2
977557265;"sing";1
977592756;"sing";3
977770211;"sing";5
977805702;"sing";4
977947666;"sing";4
978018648;"sing";2
978125121;"sing";12
978196103;"sing";10
978480031;"sing";1
978515522;"sing";2
978763959;"sing";8
978870432;"sing";1
978941414;"sing";2
979012396;"sing";1
979047887;"sing";1
979402797;"sing";1
979438288;"sing";4
979722216;"sing";4
979828689;"sing";2
980006144;"sing";1
980077126;"sing";2
980183599;"sing";4
980503018;"sing";2
980609491;"sing";6
980680473;"sing";23
980786946;"sing";1
980999892;"sing";3
981070874;"sing";3
981141856;"sing";3
981283820;"sing";8
981319311;"sing";3
981390293;"sing";1
981922658;"sing";55
981958149;"sing";1
982100113;"sing";2
982277568;"sing";7
982774442;"sing";9
983093861;"sing";3
983271316;"sing";3
983342298;"sing";4
983519753;"sing";1
983768190;"sing";4
983839172;"sing";2
984584483;"sing";1
984832920;"sing";3
984974884;"sing";2
985116848;"sing";20
985329794;"sing";7
985649213;"sing";2
985684704;"sing";1
985791177;"sing";2
985826668;"sing";2
986359033;"sing";1
986394524;"sing";8
986713943;"sing";4
986784925;"sing";3
986820416;"sing";1
986891398;"sing";1
986962380;"sing";1
987033362;"sing";6
988133583;"sing";1
988275547;"sing";2
988488493;"sing";2
988772421;"sing";1
988843403;"sing";8
988949876;"sing";2
989304786;"sing";2
989446750;"sing";2
989872642;"sing";1
989979115;"sing";5
990085588;"sing";1
990298534;"sing";9
990617953;"sing";1
991824647;"sing";2
991895629;"sing";2
992037593;"sing";1
992250539;"sing";4
992392503;"sing";4
992889377;"sing";1
992924868;"sing";2
992995850;"sing";2
993528215;"sing";1
993989598;"sing";2
995586693;"sing";7
995622184;"sing";7
995728657;"sing";2
996438477;"sing";2
997183788;"sing";2
999881104;"sing";2
999952086;"sing";5
1001052307;"sing";1
1001691145;"sing";2
1001939582;"sing";3
1002223510;"sing";3
1002365474;"sing";3
1005346718;"sing";2
1005808101;"sing";1
1005985556;"sing";1
1006127520;"sing";8
1007156759;"sing";3
1007440687;"sing";1
1007866579;"sing";6
1008327962;"sing";1
1008469926;"sing";10
1008611890;"sing";5
1008789345;"sing";1
1009073273;"sing";3
1009712111;"sing";1
1010279967;"sing";1
1010421931;"sing";7
1010812332;"sing";1
1010883314;"sing";3
1010954296;"sing";8
1011202733;"sing";1
1011380188;"sing";1
1011735098;"sing";1
1011770589;"sing";1
1011806080;"sing";3
1012019026;"sing";1
1012054517;"sing";1
1012196481;"sing";3
1012267463;"sing";1
1012444918;"sing";2
1012515900;"sing";8
1012728846;"sing";3
1012835319;"sing";4
1012906301;"sing";1
1013580630;"sing";2
1014042013;"sing";1
1014290450;"sing";1
1014396923;"sing";1
1014609869;"sing";2
1014680851;"sing";1
1014716342;"sing";2
1014751833;"sing";7
1014822815;"sing";1
1015071252;"sing";1
1015319689;"sing";3
1015390671;"sing";1
1015568126;"sing";1
1015603617;"sing";16
1016029509;"sing";3
1016100491;"sing";1
